net,length_um
u_branch_unit.rs1_val\[12\],324.46
u_pc_next_logic._0583_,324.38
u_alu._0782_,323.74
u_alu._0425_,323.38
u_alu._0320_,321.82
u_alu._0745_,321.595
u_alu.B\[29\],321.36
u_alu.Result\[25\],321.08
u_dmem.read_data\[26\],321.08
u_pc_next_logic._0682_,321.06
u_alu._0392_,320.64
u_branch_unit.rs1_val\[19\],320.52
net320,319.5
net22,318.63
u_alu.B\[3\],317.18
u_dmem.read_data\[27\],316.74
u_alu._0291_,316.595
u_dmem.read_data\[28\],311.78
u_alu._0430_,311.2
u_alu._0480_,310.28
net317,310.06
u_alu._0309_,309.76
u_alu._0563_,309.54
u_branch_unit.rs1_val\[11\],309.34
u_branch_unit.rs1_val\[9\],309.02
u_pc_next_logic._0505_,308.52
u_alu._0362_,307.96
u_alu._0189_,307.31
u_wb_mux._041_,306.22
u_pc_next_logic._0751_,305.8
u_alu._0305_,304.635
u_alu._0549_,304.4
net81,302.16
u_dmem.read_data\[25\],301.8
u_pc_next_logic._0537_,301.78
net313,301.04
net25,300.02
u_dmem.read_data\[24\],298.62
u_alu._0763_,298.515
net363,298.24
u_alu.B\[30\],297.92
u_alu.A\[0\],297.8
u_wb_mux._039_,297.26
u_alu.B\[23\],294.7
u_pc_next_logic._0513_,292.71
u_alu._0400_,291.62
net268,290.34
net370,290.24
u_dmem.read_data\[21\],288.62
u_alu._0708_,286.58
u_pc_next_logic._0051_,286.58
u_pc_reg._050_,286.48
u_pc_next_logic._0042_,285.86
u_alu._0402_,282.6
u_dmem.read_data\[23\],282.58
u_alu._0071_,282.52
u_dmem.read_data\[19\],282.46
u_dmem.read_data\[20\],282.3
u_dmem.read_data\[15\],281.76
u_alu._0568_,281.6
u_alu._0088_,281.48
u_branch_unit.rs1_val\[8\],280.935
u_alu._0386_,280.08
net264,279.01
u_dmem.read_data\[16\],278.32
u_alu._0405_,277.56
u_pc_next_logic._0265_,277.52
u_alu._0210_,275.79
u_alu._0648_,275.475
u_alu._0505_,275.13
u_dmem.read_data\[22\],274.18
u_alu._0378_,273.425
net375,271.02
net315,271
net285,270.58
u_branch_unit.rs1_val\[1\],270.14
u_wb_mux._036_,269.28
u_alu._0697_,268.505
u_dmem.read_data\[17\],268.48
u_pc_next_logic._0470_,268.46
u_pc_next_logic._0238_,267.92
u_alu._0316_,267.82
u_alu._0567_,265.42
u_alu._0377_,265.27
u_alu._0396_,264.62
u_alu._0384_,264.28
u_pc_next_logic._0008_,263.86
u_alu._0629_,263.8
u_pc_next_logic._0717_,262.96
u_alu._0562_,261.22
net253,259.06
u_alu._0408_,258.13
net394,258
u_alu.B\[5\],257.88
u_alu._0130_,257.6
u_pc_next_logic._0463_,257.38
u_alu._0475_,257.06
net324,257.06
u_alu._0499_,256.685
u_alu._0404_,256.32
u_pc_next_logic._0107_,256.22
u_alu._0561_,253.99
net404,253.66
u_dmem.read_data\[18\],253.62
u_pc_next_logic._0464_,252.91
u_alu._0393_,252.25
u_dmem.read_data\[14\],249.74
u_alu._0417_,249.32
net399,248.98
u_wb_mux._026_,248.28
net380,248.1
net395,247.6
net293,247.06
u_alu._0166_,246
u_alu.Result\[20\],244.52
net309,244.46
u_branch_unit.rs1_val\[0\],244.42
u_alu._0515_,244.39
u_alu._0177_,244
net341,243.68
u_dmem.read_data\[13\],243.02
u_alu._0370_,242.3
net283,241.9
net328,241.64
net247,241.02
net311,241.02
net314,240.56
u_alu.B\[22\],240.02
u_wb_mux._030_,239.96
u_branch_unit.take_branch,239.08
net149,239.06
u_alu.A\[7\],238.89
u_branch_unit.rs1_val\[3\],238.645
u_alu._0427_,238.49
u_alu.B\[20\],238.37
u_alu.B\[21\],237.96
net401,237.72
u_alu._0500_,237.65
net248,237.56
u_alu._0673_,236.85
u_branch_unit._052_,236.24
u_branch_unit.rs1_val\[2\],236.22
net340,235.7
u_pc_next_logic._0055_,235.42
net148,235.3
net400,235.3
net356,235.04
u_alu._0703_,234.94
u_alu.Result\[28\],234.62
net361,234.22
u_alu._0823_,233.7
net312,233.56
net322,233.52
u_alu._0507_,233.355
u_wb_mux._028_,233.06
net245,232.52
u_alu._0366_,232.46
u_alu._0174_,232.41
u_imem.addr\[3\],232.04
net337,232
u_dmem.read_data\[12\],231.64
u_alu._0379_,231.34
u_alu.Negative,230.94
u_alu._0830_,230.7
u_pc_next_logic._0469_,230.49
u_alu.B\[6\],230.11
u_alu._1053_,230.1
u_alu._0423_,229.34
u_alu._0669_,228.72
u_alu.Result\[3\],228.22
net19,227.3
u_alu._0369_,227.18
u_dmem.read_data\[11\],225.6
u_alu._0383_,224.9
u_pc_next_logic._0225_,224.72
u_branch_unit.rs1_val\[6\],224.5
u_alu.Result\[24\],222.74
u_branch_unit.rs1_val\[7\],222.68
u_dmem.read_data\[10\],222.34
u_alu._0107_,222.32
net99,220.72
u_pc_next_logic._0343_,220.48
u_alu._0235_,220.34
u_alu._0963_,219.42
net403,218.74
u_branch_unit.rs1_val\[4\],218.72
net295,218.48
net374,217.2
u_pc_next_logic._0451_,215.16
net323,214.9
u_alu._0781_,214.82
u_pc_next_logic._0430_,214.74
u_wb_mux._024_,214.34
net358,213.38
net105,213.36
u_pc_next_logic._0407_,212.36
u_branch_unit.rs1_val\[5\],212.16
u_dmem.dout0_sram\[31\],212.11
net276,211.42
u_alu._0415_,210.34
u_alu._0744_,209.895
u_alu.B\[4\],209.54
u_alu._0532_,209.42
net339,209.1
u_alu.B\[17\],208.24
u_alu._0165_,208.04
net246,207.5
net343,207.42
net327,207.08
u_alu._1026_,207.02
u_dmem.dout0_sram\[29\],205.99
net143,203.46
dbg_wb_data[14],203.02
net286,202.84
net402,202.7
net338,202.42
dbg_wb_data[24],201.98
u_alu._0010_,201.72
u_alu.A\[3\],201.24
u_alu._0801_,201.12
net101,200.98
u_alu._0621_,200.765
u_alu._0842_,200.54
net164,198.68
u_wb_mux._003_,198.04
u_alu._0361_,197.15
dbg_pc_current[0],196.76
net302,196.48
u_alu._0407_,196.16
u_dmem.dout0_sram\[30\],195.33
net369,195
net8,194.96
u_alu._0099_,194.48
u_wb_mux._037_,193.95
u_alu._0734_,193.44
dbg_pc_current[12],191.98
net103,191.4
u_alu._0416_,191.36
u_alu._0382_,191.26
net237,191.14
net109,190.48
u_wb_mux._012_,190.38
u_pc_next_logic._0206_,188.82
net107,187.78
net33,187.58
u_alu._0674_,187.18
u_alu._0937_,186.92
net391,186.64
net284,185.84
net136,185.5
u_pc_next_logic._0163_,185.38
u_alu._0832_,185.18
u_alu._0808_,184.2
u_alu._0424_,183.76
u_dmem.read_data\[9\],181.78
u_wb_mux._022_,180.9
net255,180.72
net249,179.04
u_alu.B\[7\],178.845
net7,178.58
u_alu.Result\[26\],178.54
u_alu._0411_,178.52
u_alu._0409_,177.36
u_alu._0573_,177.3
net113,176.94
u_alu._0357_,176.585
u_alu.Result\[10\],176.38
u_wb_mux._005_,175.46
u_wb_mux._032_,175.31
u_pc_next_logic._0476_,174.9
u_pc_next_logic._0485_,172.52
u_alu._0385_,172.465
net316,170.96
net163,170.54
u_wb_mux._020_,170.28
net243,169.62
u_alu._0401_,168.44
u_alu.Result\[27\],167.92
u_pc_next_logic._0077_,166.4
u_branch_unit._062_,166.34
u_pc_next_logic._0338_,166.2
u_dmem.read_data\[30\],165.92
u_alu.Result\[21\],165.64
u_pc_next_logic._0368_,165.4
u_alu.Result\[4\],165.24
u_pc_next_logic.pc_plus4\[19\],165.14
net261,165.02
u_alu._0627_,164.68
u_dmem._018_,164.4
u_alu._0126_,164.04
u_alu._0478_,163.14
u_wb_mux._016_,162.96
u_pc_next_logic._0075_,162.66
u_wb_mux._018_,162.66
u_alu._0110_,162.64
net154,162.64
u_dmem.read_data\[31\],161.24
u_branch_unit._008_,161.18
u_alu._0280_,160.31
u_alu.Result\[5\],159.1
u_regfile.rd1_sram\[0\],158.51
u_wb_mux._031_,158.24
u_alu._0706_,158.12
net6,157.48
u_alu.B\[16\],156.36
u_alu.B\[18\],155.94
u_pc_next_logic.pc_plus4\[18\],155.94
net346,155.28
net294,154.78
net153,153.86
u_alu._0880_,152.8
net130,152.44
u_alu._0153_,152.02
net282,150.3
u_pc_next_logic._0168_,149.64
dbg_instr[23],149.13
_182_,148.82
u_alu._1052_,148.66
u_alu._0678_,148.36
u_alu._0326_,148.02
u_alu._0635_,147.26
u_alu._0632_,147.18
u_alu._0633_,147.16
u_alu._0306_,146.89
u_alu._0406_,146.88
u_regfile.rd1_sram\[4\],146.77
dbg_pc_current[6],145.85
u_imm_gen.imm_i\[29\],145.64
u_alu._0531_,145.5
u_pc_next_logic._0293_,145.34
u_dmem.read_data\[29\],145.27
u_alu._0431_,144.92
u_alu.B\[19\],144.74
u_regfile.rd1_sram\[3\],144.73
net196,144.64
net234,144.42
u_regfile.rd1_sram\[1\],144.39
u_alu._1015_,144.34
u_alu._0522_,144.1
u_regfile.rd1_sram\[2\],143.75
u_alu._0837_,143.74
_046_,143.455
u_pc_next_logic._0572_,143.12
net133,142.92
u_alu.B\[8\],142.74
u_alu._0928_,142.275
u_alu.Result\[19\],142.22
u_imm_gen.imm_i\[28\],142.01
u_alu._0696_,141.96
dbg_wb_data[20],141.6
net201,141.175
net135,139.98
u_dmem.dout0_sram\[8\],139.39
u_alu._0395_,139.31
u_alu._1068_,139.22
net170,139
u_imm_gen.imm_i\[27\],138.64
net288,138.42
net254,137.52
u_alu._0620_,137.485
_048_,137.385
u_alu._0288_,137.06
u_pc_next_logic._0297_,136.875
u_alu.Result\[23\],136.52
net197,136.32
dbg_instr[11],135.82
dbg_instr[22],135.65
u_alu._0147_,135.62
u_pc_next_logic._0138_,135.4
u_alu._0623_,135.32
net184,134.9
net5,134.65
_094_,134.52
net209,133.74
u_alu._0626_,133.54
u_alu._0376_,133.38
_138_,133.095
u_regfile.rd1_sram\[5\],133.03
net334,132.9
net157,132.76
u_alu._0516_,132.245
u_alu._0389_,131.98
u_pc_next_logic._0316_,131.84
u_alu._0511_,131.76
net178,131.52
u_alu._0551_,131.46
net260,131.38
u_alu._0422_,131.32
u_regfile.rd1_sram\[7\],131.22
dbg_instr[18],130.89
u_alu._0433_,130.74
u_alu._1051_,130.3
u_alu._0495_,129.98
net212,129.82
u_alu._0574_,129.36
dbg_wb_data[19],128.76
u_pc_next_logic._0289_,128.74
net250,128.62
net193,128.08
u_alu._0897_,127.96
u_alu.B\[9\],127.42
u_regfile.rd1_sram\[6\],127.35
u_decoder_controller.branch,127.34
net185,126.62
u_alu.Result\[22\],126.26
u_alu._0803_,126.06
u_alu._0798_,126.02
